"query_name","ts","batch_id","batch_duration","num_input_rows"
"Write SingleTable","1709406777423","7","184981","15229"
"Update metadata from IndexTable","1709406786463","9","178106","8701"
"Update metadata from SequenceTable","1709406786889","7","181273","20648"
"Write IndexTable","1709406777706","6","222675","103505"
"Write SequenceTable","1709406787230","8","214319","19983"
"Update metadata from IndexTable","1709406964576","10","37043","117558"
"Write SingleTable","1709406962413","8","39426","121871"
"Update metadata from SequenceTable","1709406968174","8","61353","239356"
"Write SingleTable","1709407001840","9","183037","25535"
"Write SequenceTable","1709407001559","9","184739","141001"
"Write CountTable","1709406770118","2","416928","310254"
"Update metadata from SequenceTable","1709407029538","9","161884","79788"
"Update metadata from IndexTable","1709407001622","11","189881","23980"
"Write IndexTable","1709407001036","7","194363","146911"
"Update metadata from IndexTable","1709407191506","12","186860","124360"
"Update metadata from SequenceTable","1709407191427","10","187993","212020"
"Write SequenceTable","1709407186310","10","194804","121408"
"Write SingleTable","1709407184896","10","196683","120477"
"Update metadata from IndexTable","1709407378403","13","32953","116200"
"Write IndexTable","1709407195402","8","217631","126750"
"Write SingleTable","1709407381579","11","33254","121961"
"Write SequenceTable","1709407381115","11","33908","120900"
"Update metadata from SequenceTable","1709407379427","11","58249","233692"
"Update metadata from IndexTable","1709407411387","14","26449","21259"
"Write CountTable","1709407187051","3","377054","273556"
"Write SequenceTable","1709407415024","12","149369","21765"
"Write SingleTable","1709407414841","12","149564","21335"
"Update metadata from IndexTable","1709407437839","15","130607","9859"
"Write IndexTable","1709407413042","9","155772","136308"
"Update metadata from SequenceTable","1709407437706","12","131156","61034"
"Write SequenceTable","1709407564397","13","99806","7641"
"Write SingleTable","1709407564406","13","103281","7762"
"Write IndexTable","1709407568815","10","150650","8802"
"Write CountTable","1709407564118","4","163458","148088"
"Write SequenceTable","1709408442582","0","0","0"
"Update metadata from SequenceTable","1709408442863","0","0","0"
"Write SingleTable","1709408443468","0","0","0"
"Write IndexTable","1709408444358","0","0","0"
"Update metadata from IndexTable","1709408444505","0","0","0"
"Write CountTable","1709408445322","0","0","0"
"Update metadata from IndexTable","1709408516107","1","37761","2"
"Write SingleTable","1709408516114","1","47328","12"
"Update metadata from SequenceTable","1709408516115","1","53152","26"
"Write SequenceTable","1709408516110","1","53522","9"
"Write IndexTable","1709408516108","1","57141","2"
"Update metadata from IndexTable","1709408553955","2","50287","10148"
"Write SingleTable","1709408563597","2","75155","10138"
"Write SequenceTable","1709408569648","2","69476","10141"
"Update metadata from SequenceTable","1709408569396","2","71081","20274"
"Write IndexTable","1709408573274","2","83527","10148"
"Write CountTable","1709408662713","1","66803","10150"
"Write SequenceTable","1709408810617","0","0","0"
"Update metadata from SequenceTable","1709408810888","0","0","0"
"Write SingleTable","1709408811581","0","0","0"
"Write IndexTable","1709408812458","0","0","0"
"Update metadata from IndexTable","1709408812628","0","0","0"
"Write CountTable","1709408813334","0","0","0"
"Update metadata from SequenceTable","1709408857346","1","193219","20056"
"Write SingleTable","1709408926614","1","125206","10028"
"Update metadata from IndexTable","1709408928740","1","123569","10028"
"Write SequenceTable","1709408889860","1","162471","10028"
"Write IndexTable","1709408927792","1","135619","10028"
"Write CountTable","1709409078402","1","61305","10028"
"Write SequenceTable","1709409269324","0","0","0"
"Update metadata from SequenceTable","1709409269605","0","0","0"
"Write SingleTable","1709409270202","0","0","0"
"Write IndexTable","1709409271088","0","0","0"
"Update metadata from IndexTable","1709409271250","0","0","0"
"Write CountTable","1709409272035","0","0","0"
"Update metadata from SequenceTable","1709409313586","1","216190","19572"
"Write SequenceTable","1709409353172","1","178179","9786"
"Write SingleTable","1709409352789","1","179251","9786"
"Update metadata from IndexTable","1709409353726","1","178980","9786"
"Write IndexTable","1709409353589","1","190177","9786"
"Write CountTable","1709409556068","1","65245","9786"
"Write SequenceTable","1709409688812","0","0","0"
"Update metadata from SequenceTable","1709409689040","0","0","0"
"Write SingleTable","1709409689707","0","0","0"
"Write IndexTable","1709409690701","0","0","0"
"Update metadata from IndexTable","1709409690874","0","0","0"
"Write CountTable","1709409691552","0","0","0"
"Write SequenceTable","1709409702254","1","88354","108"
"Update metadata from SequenceTable","1709409702116","1","97707","12"
"Update metadata from IndexTable","1709409755729","1","46706","10127"
"Write SequenceTable","1709409790618","2","219440","10019"
"Update metadata from SequenceTable","1709409799881","2","228846","20242"
"Write IndexTable","1709409785698","1","248890","10127"
"Write CountTable","1709410050462","1","72938","10127"
"Write SingleTable","1709409711294","1","468611","6310"
"Write SingleTable","1709410179907","2","109910","3817"
